content_id,phase_id,title,url,author
m12s,p2,【FF14】アルカディア：ヘビー級 零式 4層後半 攻略解説 M12S Part2 Guide【ぬけまる】(初版),https://www.youtube.com/watch?v=Fl1nPBxcPpM,ぬけまるG
m9s,p1,【FF14】ヘビー級零式1層 攻略解説【ぬけまる】,https://www.youtube.com/watch?v=m4_8a0N8GcM,ぬけまるG
m9s,p1,【FF14】アルカディア零式ヘビー級１層 世界一わかりやすい解説【game8対応】,https://www.youtube.com/watch?v=S_bhkYVN5Yk,
m1s,p1,【FF14】アルカディア零式：ライトヘビー級1層 攻略解説【犬丸】,https://www.youtube.com/watch?v=S1SBXo9tLfo,犬丸
m1s,p1,【FF14】アルカディア零式：ライトヘビー級1層 攻略解説【ゴールデンたけし】,https://www.youtube.com/watch?v=9dCWOvx9Mqw,ゴールデンたけし
m1s,p1,【FF14】アルカディア零式ライトヘビー級１層【解説】,https://www.youtube.com/watch?v=zNQCr7QBUEw,
m1s,p1,【 FF14 / 解説 】アルカディア零式：ライトヘビー級零式1 マクロ,https://nukemarugames.com/2024/07/31/%E3%80%90-ff14-%E8%A7%A3%E8%AA%AC-%E3%80%91%E3%82%A2%E3%83%AB%E3%82%AB%E3%83%87%E3%82%A3%E3%82%A2%E9%9B%B6%E5%BC%8F%EF%BC%9A%E3%83%A9%E3%82%A4%E3%83%88%E3%83%98%E3%83%93%E3%83%BC%E7%B4%9A%E9%9B%B6-2/,ぬけまるG
m2s,p1,【FF14】アルカディア零式：ライトヘビー級2層 攻略解説【ぬけまる】,https://www.youtube.com/watch?v=p9tE-x0XEC4,ぬけまるG
m2s,p1,【 FF14 / 解説 】アルカディア零式：ライトヘビー級零式2 マクロ,https://nukemarugames.com/2024/07/31/%E3%80%90-ff14-%E8%A7%A3%E8%AA%AC-%E3%80%91%E3%82%A2%E3%83%AB%E3%82%AB%E3%83%87%E3%82%A3%E3%82%A2%E9%9B%B6%E5%BC%8F%EF%BC%9A%E3%83%A9%E3%82%A4%E3%83%88%E3%83%98%E3%83%93%E3%83%BC%E7%B4%9A%E9%9B%B6/,ぬけまるG
m3s,p1,【FF14】アルカディア零式：ライトヘビー級3層 攻略解説【ぬけまる】,https://www.youtube.com/watch?v=zZDu5NY7DIo,ぬけまるG
m3s,p1,【 FF14 / 解説 】アルカディア零式：ライトヘビー級零式3 マクロ,https://nukemarugames.com/2024/08/01/%E3%80%90-ff14-%E8%A7%A3%E8%AA%AC-%E3%80%91%E3%82%A2%E3%83%AB%E3%82%AB%E3%83%87%E3%82%A3%E3%82%A2%E9%9B%B6%E5%BC%8F%EF%BC%9A%E3%83%A9%E3%82%A4%E3%83%88%E3%83%98%E3%83%93%E3%83%BC%E7%B4%9A%E9%9B%B6-3/,ぬけまるG
m4s,p1,"【 FF14 /Game8準拠解説】DN式円輪,輪円+くうや アルカディア零式：ライトヘビー級4前半解説 マクロ有【ぬけまる】最終改定 M4S",https://www.youtube.com/watch?v=gl4BNKLr3rk,ぬけまるG
m4s,p1,【FF14】アルカディア零式ライトヘビー級４層前半【解説】,https://www.youtube.com/watch?v=zEvghGfSkVM,
m4s,p2,【FF14】アルカディア零式ライトヘビー級4層後半 攻略解説【ぬけまる】,https://www.youtube.com/watch?v=YXxp8nrRw3o,ぬけまるG
m4s,p2,【FF14】後世のためにライトヘビー級4層零式の”正解”を書き記す【LH4層零式】,https://note.com/mokatamk/n/n92368fe90e97,Mokatamk
fru,p1,【FF14/絶エデン】フェーズ1野良主流簡易解説(優先HTD/STD4入替/塔キャス固定)【絶もうひとつの未来】,https://www.youtube.com/watch?v=0HDstP0aU_Y,
fru,p1,【絶エデン】P1通しでひたすら見る動画 新リリドぬけまる【FF14 絶もうひとつの未来】,https://www.youtube.com/watch?v=Ws3p-stlYuY,ぬけまるG
fru,p1,【絶エデン】P1楽園絶技ひたすら見る動画 新リリドぬけまる【FF14 絶もうひとつの未来】,https://www.youtube.com/watch?v=boAVFc9chKU,ぬけまるG
